	id	main_affiliation	category
477	pub.1127769033	grid.10423.34	Medical and Health Sciences
478	pub.1127769033	grid.11899.38	Cardiorespiratory Medicine and Haematology
479	pub.1127769033	grid.11899.38	Medical and Health Sciences
480	pub.1127769033	grid.39382.33	Cardiorespiratory Medicine and Haematology
481	pub.1127769033	grid.39382.33	Medical and Health Sciences
482	pub.1127769033	grid.38142.3c	Cardiorespiratory Medicine and Haematology
483	pub.1127769033	grid.38142.3c	Medical and Health Sciences
484	pub.1127769033	grid.459746.d	Cardiorespiratory Medicine and Haematology
485	pub.1127769033	grid.459746.d	Medical and Health Sciences
486	pub.1127769033	grid.8756.c	Cardiorespiratory Medicine and Haematology
487	pub.1127769033	grid.8756.c	Medical and Health Sciences
488	pub.1127769033	grid.17089.37	Cardiorespiratory Medicine and Haematology
489	pub.1127769033	grid.17089.37	Medical and Health Sciences
490	pub.1127769033	grid.5216.0	Cardiorespiratory Medicine and Haematology
491	pub.1127769033	grid.5216.0	Medical and Health Sciences
